省辖市代码,省份,年份,互联网上网人数 (万人),域名数 (万个),网站数 (万个),网页数 (万个),互联网宽带接入端口 (万个),互联网拨号用户 (万户),互联网宽带接入用户 (万户),城市宽带接入用户 (万户),农村宽带接入用户 (万户),移动互联网用户 (万户),移动互联网接入流量 (万GB)
610000000000,陕西省,2023,,39.1,,198724.4,3277.1,,1921.3,1341.3,580.0,4346.5,876588.3
610000000000,陕西省,2022,,42.68,,182836.21,3007.8,,1760.5,1226.9,533.6,4167.23,772196.92
610000000000,陕西省,2021,,59.26,,167413.88,2943.8,,1567.4,1213.6,353.8,4115.16,619301.93
610000000000,陕西省,2020,,98.75,,158145.1,2576.5,,1369.0,1022.4,346.6,3876.23,516736.85
610000000000,陕西省,2019,,107.41,,123103.59,2322.7,,1197.7,878.2,319.5,3839.85,393245.71
610000000000,陕西省,2018,,52.96,7.37,158674.5,2239.6,,1057.4,773.3,284.1,3726.81,248683.22
610000000000,陕西省,2017,,39.63,6.87,160042.54,1993.2,11.4,903.2,662.2,241.0,3668.28,78748.91
610000000000,陕西省,2016,1989.0,43.08,5.88,186033.74,2083.1,11.4,803.0,615.0,188.0,3384.76,30607.38
620000000000,甘肃省,2025,,,,,,,,,,,
620000000000,甘肃省,2024,,19.57,,21700.29,2404.7,,1252.8,802.0,450.8,2637.1,560582.04
620000000000,甘肃省,2023,,19.6,,20615.2,1958.6,,1186.7,749.5,437.2,2613.3,522490.1
620000000000,甘肃省,2022,,10.3,,19395.6,1754.3,,1092.7,675.9,416.8,2483.32,477928.19
620000000000,甘肃省,2021,,14.64,,17658.74,1622.6,,1025.2,661.3,364.0,2434.24,420575.62
620000000000,甘肃省,2020,,42.69,,16344.42,1460.6,,931.4,595.4,336.0,2298.62,319035.2
620000000000,甘肃省,2019,,34.31,,12530.62,1405.7,,870.7,548.7,321.9,2323.06,227042.87
620000000000,甘肃省,2018,,25.37,1.43,12908.61,1128.0,,742.8,465.0,277.9,2210.61,131267.34
620000000000,甘肃省,2017,,11.66,1.29,11312.24,1099.9,9.8,576.4,380.0,196.4,2034.1,40620.52
620000000000,甘肃省,2016,1101.0,11.11,1.1,20360.74,946.0,10.2,392.9,287.4,105.4,1804.94,12391.13
630000000000,青海省,2025,,,,,,,,,,,
630000000000,青海省,2024,,2.09,,3799.29,528.9,,308.6,225.9,82.8,708.5,244708.16
630000000000,青海省,2023,,1.7,,3677.2,463.0,,290.6,210.5,80.1,686.2,202283.8
630000000000,青海省,2022,,2.27,,3588.1,460.0,,249.7,162.6,87.2,650.09,175508.72
630000000000,青海省,2021,,2.32,,3463.73,438.3,,209.4,152.1,57.2,609.07,136049.79
630000000000,青海省,2020,,4.54,,3381.68,412.8,,182.0,131.9,50.1,581.12,105268.74
630000000000,青海省,2019,,3.9,,2565.22,382.3,,174.5,130.3,44.2,564.67,76145.67
630000000000,青海省,2018,,3.04,0.39,1656.72,355.4,,152.9,118.5,34.4,558.97,49550.67
630000000000,青海省,2017,,2.01,0.36,1529.18,310.5,0.9,120.1,105.9,14.2,533.29,17331.38
630000000000,青海省,2016,320.0,4.6,0.35,2473.29,262.2,0.9,99.7,87.9,11.8,434.57,5022.95
640000000000,宁夏回族自治区,2025,,,,,,,,,,,
640000000000,宁夏回族自治区,2024,,5.99,,2277.29,725.8,,387.4,305.6,81.7,849.1,251599.59
640000000000,宁夏回族自治区,2023,,4.1,,2228.3,707.9,,373.0,293.4,79.6,819.1,208706.4
640000000000,宁夏回族自治区,2022,,4.45,,2070.53,663.7,,349.4,273.9,75.5,787.92,180398.8
640000000000,宁夏回族自治区,2021,,4.69,,1889.87,596.6,,317.1,246.9,70.2,750.82,149178.03
640000000000,宁夏回族自治区,2020,,7.74,,1487.87,550.0,,283.6,221.9,61.7,712.71,115767.21
640000000000,宁夏回族自治区,2019,,8.15,,1618.37,520.0,,259.1,204.9,54.2,685.74,87474.59
640000000000,宁夏回族自治区,2018,,7.19,0.78,1018.33,498.2,,217.0,174.6,42.4,694.61,52402.89
640000000000,宁夏回族自治区,2017,,3.27,0.71,5714.8,415.0,1.4,159.2,140.6,18.6,682.53,20823.35
640000000000,宁夏回族自治区,2016,339.0,4.25,0.6,11988.36,307.1,1.4,111.9,102.0,9.9,602.14,7129.98
650000000000,新疆维吾尔自治区,2025,,,,,,,,,,,
650000000000,新疆维吾尔自治区,2024,,7.27,,10014.22,2823.9,,1351.6,915.0,436.7,2647.6,788648.7
650000000000,新疆维吾尔自治区,2023,,8.0,,9690.3,2627.9,,1288.3,841.9,446.4,2606.4,665475.2
650000000000,新疆维吾尔自治区,2022,,8.41,,9209.9,2350.9,,1174.8,775.3,399.4,2435.38,604287.28
650000000000,新疆维吾尔自治区,2021,,11.69,,8675.32,2251.6,,1064.2,761.4,302.8,2464.3,509038.64
650000000000,新疆维吾尔自治区,2020,,13.17,,8089.84,1943.8,,883.9,648.2,235.6,2359.17,372772.69
650000000000,新疆维吾尔自治区,2019,,15.87,,6721.95,1819.0,,775.9,508.5,267.4,2138.19,225500.77
650000000000,新疆维吾尔自治区,2018,,8.01,0.96,12141.88,1678.6,,647.3,451.4,195.8,1992.49,84724.5
650000000000,新疆维吾尔自治区,2017,,8.24,1.06,10284.01,1407.4,5.1,569.9,408.3,161.6,1855.84,21999.43
650000000000,新疆维吾尔自治区,2016,1296.0,13.37,1.04,14592.41,1323.9,6.1,468.4,349.0,119.4,1633.55,12148.49
